rank,name,rate,quote,staff
82,低俗小说,8.9,故事的高级讲法。,导演: 昆汀·塔伦蒂诺 Quentin Tarantino/主演: 约翰·特拉沃尔塔 John Tra
83,心灵捕手,8.9,人生中应该拥有这样的一段豁然开朗。,导演: 格斯·范·桑特 Gus Van Sant/主演: 马特·达蒙 Matt Damon / 罗宾·
84,布达佩斯大饭店,8.9,小清新的故事里注入了大历史的情怀。,导演: 韦斯·安德森 Wes Anderson/主演: 拉尔夫·费因斯 Ralph Fiennes /
85,七宗罪,8.8,警察抓小偷，老鼠玩死猫。,导演: 大卫·芬奇 David Fincher/主演: 摩根·弗里曼 Morgan Freeman / 布
86,春光乍泄,8.9,爱情纠缠，男女一致。,导演: 王家卫 Kar Wai Wong/主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu
87,哈利·波特与死亡圣器(下),8.9,10年的完美句点。,导演: 大卫·叶茨 David Yates/主演: 丹尼尔·雷德克里夫 Daniel Radcliffe
88,摩登时代,9.3,大时代中的人生，小人物的悲喜。,导演: 查理·卓别林 Charles Chaplin/主演: 查理·卓别林 Charles Chaplin
89,被嫌弃的松子的一生,8.9,以戏谑来戏谑戏谑。,导演: 中岛哲也 Tetsuya Nakashima/主演: 中谷美纪 Miki Nakatani / 瑛太 E
90,喜剧之王,8.8,我是一个演员。,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee/主演: 周星驰 Stephen Ch
91,致命ID,8.8,最不可能的那个人永远是最可能的。,导演: 詹姆斯·曼高德 James Mangold/主演: 约翰·库萨克 John Cusack / 雷
92,杀人回忆,8.9,关于连环杀人悬案的集体回忆。,导演: 奉俊昊 Joon-ho Bong/主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun
93,加勒比海盗,8.8,约翰尼·德普的独角戏。,导演: 戈尔·维宾斯基 Gore Verbinski/主演: 约翰尼·德普 Johnny Depp /
94,剪刀手爱德华,8.7,浪漫忧郁的成人童话。,导演: 蒂姆·波顿 Tim Burton/主演: 约翰尼·德普 Johnny Depp / 薇诺娜·
95,勇敢的心,8.9,史诗大片的典范。,导演: 梅尔·吉布森 Mel Gibson/主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛
96,狩猎,9.1,人言可畏。,导演: 托马斯·温特伯格 Thomas Vinterberg/主演: 麦斯·米科尔森 Mads Mik
97,请以你的名字呼唤我,8.9,沉醉在电影的情感和视听氛围中无法自拔。,导演: 卢卡·瓜达尼诺 Luca Guadagnino/主演: 艾米·汉莫 Armie Hammer /
98,红辣椒,9.0,梦的勾结。,导演: 今敏 Satoshi Kon/主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru
99,断背山,8.8,每个人心中都有一座断背山。,导演: 李安 Ang Lee/主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake
100,7号房的礼物,8.9,《我是山姆》的《美丽人生》。,导演: 李焕庆 Hwan-kyeong Lee/主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi
101,天使爱美丽,8.7,法式小清新。 ,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet/主演: 奥黛丽·塔图 Audrey Tau
102,幽灵公主,8.9,人与自然的战争史诗。,导演: 宫崎骏 Hayao Miyazaki/主演: 松田洋治 Yôji Matsuda / 石田百合
103,小森林 夏秋篇,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,导演: 森淳一 Junichi Mori/主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir
104,第六感,8.9,深入内心的恐怖，出人意料的结局。,导演: M·奈特·沙马兰 M. Night Shyamalan/主演: 布鲁斯·威利斯 Bruce Wi
105,阳光灿烂的日子,8.8,一场华丽的意淫。,导演: 姜文 Wen Jiang/主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
106,重庆森林,8.8,寂寞没有期限。,导演: 王家卫 Kar Wai Wong/主演: 林青霞 Brigitte Lin / 金城武 Takeshi K
107,超脱,8.9,穷尽一生，我们要学会的，不过是彼此拥抱。,导演: 托尼·凯耶 Tony Kaye/主演: 艾德里安·布洛迪 Adrien Brody / 马西
108,功夫,8.7,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,导演: 周星驰 Stephen Chow/主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen /
109,唐伯虎点秋香,8.7,华太师是黄霑，吴镇宇四大才子之一。,导演: 李力持 Lik-Chi Lee/主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈
110,爱在黎明破晓前,8.8,缘分是个连绵词，最美不过一瞬。,导演: 理查德·林克莱特 Richard Linklater/主演: 伊桑·霍克 Ethan Hawke
111,人生果实,9.5,土壤没有落叶不会肥沃，没有了你就不算人生。,导演: 伏原健之 Kenshi Fushihara/主演: 津端修一 Shûichi Tsubata / 津
112,小森林 冬春篇,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,导演: 森淳一 Junichi Mori/主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir
113,一一,9.1,我们都曾经是一一。,导演: 杨德昌 Edward Yang/主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai
114,蝙蝠侠：黑暗骑士崛起,8.8,诺兰就是保证。,导演: 克里斯托弗·诺兰 Christopher Nolan/主演: 克里斯蒂安·贝尔 Christ
115,菊次郎的夏天,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,导演: 北野武 Takeshi Kitano/主演: 北野武 Takeshi Kitano / 关口雄介 Yus
116,入殓师,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,导演: 泷田洋二郎 Yôjirô Takita/主演: 本木雅弘 Masahiro Motoki /
117,消失的爱人,8.7,年度最佳date movie。,导演: 大卫·芬奇 David Fincher/主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙
118,无人知晓,9.1,我的平常生活就是他人的幸福。,导演: 是枝裕和 Hirokazu Koreeda/主演: 柳乐优弥 Yûya Yagira / 北浦爱
119,倩女幽魂,8.7,两张绝世的脸。 ,导演: 程小东 Siu-Tung Ching/主演: 张国荣 Leslie Cheung / 王祖贤 Joey W
